company_id,previous_year,previous_pattern,current_year,current_pattern
TATAPOWER,2023,Mixed,2024,Shareholder Returns
TATASTEEL,2013,Reinvestor,2014,Mixed
TATASTEEL,2014,Mixed,2015,Reinvestor
TATASTEEL,2017,Reinvestor,2018,Mixed
TATASTEEL,2018,Mixed,2019,Shareholder Returns
TCS,2017,Reinvestor,2018,Liquidating Assets
TCS,2020,Liquidating Assets,2021,Shareholder Returns
TCS,2022,Shareholder Returns,2023,Liquidating Assets
TECHM,2013,Mixed,2014,Liquidating Assets
TECHM,2014,Liquidating Assets,2015,Reinvestor
TECHM,2015,Reinvestor,2016,Shareholder Returns
TECHM,2017,Shareholder Returns,2018,Reinvestor
TECHM,2018,Reinvestor,2019,Shareholder Returns
TECHM,2019,Shareholder Returns,2020,Liquidating Assets
TECHM,2020,Liquidating Assets,2021,Shareholder Returns
TECHM,2021,Shareholder Returns,2022,Liquidating Assets
TECHM,2022,Liquidating Assets,2023,Shareholder Returns
TITAN,2013,Reinvestor,2014,Growth Funded by Debt
TITAN,2014,Growth Funded by Debt,2015,Reinvestor
TITAN,2016,Reinvestor,2017,Shareholder Returns
TITAN,2017,Shareholder Returns,2018,Mixed
TITAN,2018,Mixed,2019,Reinvestor
TITAN,2019,Reinvestor,2020,Mixed
TITAN,2020,Mixed,2021,Shareholder Returns
TITAN,2021,Shareholder Returns,2022,Mixed
TITAN,2023,Mixed,2024,Reinvestor
TORNTPHARM,2015,Mixed,2016,Shareholder Returns
TORNTPHARM,2017,Shareholder Returns,2018,Mixed
TORNTPHARM,2018,Mixed,2019,Shareholder Returns
TORNTPHARM,2019,Shareholder Returns,2020,Liquidating Assets
TORNTPHARM,2020,Liquidating Assets,2021,Shareholder Returns
TORNTPHARM,2022,Shareholder Returns,2023,Mixed
TORNTPHARM,2023,Mixed,2024,Shareholder Returns
TRENT,2013,Mixed,2014,Pre-Revenue
TRENT,2014,Pre-Revenue,2015,Growth Funded by Debt
TRENT,2015,Growth Funded by Debt,2016,Shareholder Returns
TRENT,2017,Shareholder Returns,2018,Reinvestor
TRENT,2018,Reinvestor,2019,Mixed
TRENT,2020,Mixed,2021,Liquidating Assets
TRENT,2022,Liquidating Assets,2023,Shareholder Returns
TRENT,2023,Shareholder Returns,2024,Reinvestor
TVSMOTOR,2014,Shareholder Returns,2015,Mixed
TVSMOTOR,2015,Mixed,2016,Shareholder Returns
TVSMOTOR,2017,Shareholder Returns,2018,Mixed
TVSMOTOR,2018,Mixed,2019,Growth Funded by Debt
TVSMOTOR,2019,Growth Funded by Debt,2020,Mixed
TVSMOTOR,2021,Mixed,2022,Growth Funded by Debt
